order_id,order_date,region,country,product_line,channel,segment,quantity,unit_price_usd,discount_pct,revenue_usd,profit_usd,marketing_spend_usd
ORD-00000,2023-01-05,North Africa,Saudi Arabia,Support Plan,Partner,SMB,34,153.58,,3138.05,388.6,4400.69
ORD-00001,2023-01-06,Gulf,Morocco,Support Plan,Online,Enterprise,27,94.27,0.07,5453.26,791.63,873.89
ORD-00002,2023-01-07,Levant,Morocco,Professional Services,Direct,Startup,27,510.94,0.134,5494.73,987.81,8481.54
ORD-00003,2023-01-07,Levant,Egypt,Professional Services,Online,Startup,21,291.64,0.051,2351.59,364.9,7051.97
ORD-00004,2023-01-09,Nile Valley,UAE,Analytics Suite,Reseller,SMB,1,552.07,0.193,310.43,87.25,1070.26
ORD-00005,2023-01-13,Levant,Saudi Arabia,Analytics Suite,Direct,SMB,16,1793.95,0.255,17172.51,2459.67,685.22
ORD-00006,2023-01-16,Gulf,Saudi Arabia,Support Plan,Partner,SMB,29,146.24,0.124,3127.19,971.05,3032.04
ORD-00007,2023-01-16,Levant,Morocco,Support Plan,Online,Startup,32,194.62,0.057,2941.78,496.12,50.0
ORD-00008,2023-01-18,Gulf,Saudi Arabia,Analytics Suite,Online,Mid-Market,22,543.11,0.079,16831.24,2421.85,10831.72
ORD-00009,2023-01-19,Gulf,Bahrain,Support Plan,Online,Enterprise,28,190.54,0.286,11051.16,1350.71,1737.66
ORD-00010,2023-01-20,Levant,UAE,Professional Services,Online,SMB,1,631.72,0.094,498.3,138.2,50.0
ORD-00011,2023-01-20,Levant,Kuwait,Professional Services,Online,SMB,19,375.46,0.271,4457.75,786.59,50.0
ORD-00012,2023-01-20,Gulf,Kuwait,Support Plan,Online,Enterprise,20,172.0,0.116,6819.67,1582.78,50.0
ORD-00013,2023-01-21,Gulf,Morocco,Analytics Suite,Direct,SMB,35,1656.74,,45500.22,6577.31,8378.77
ORD-00014,2023-01-22,Gulf,Bahrain,Analytics Suite,Reseller,Enterprise,13,901.49,0.255,20386.55,6865.48,50.0
ORD-00015,2023-01-23,Gulf,Saudi Arabia,Support Plan,Partner,Startup,9,44.14,0.164,131.44,19.4,5774.75
ORD-00016,2023-01-28,Gulf,UAE,Analytics Suite,Direct,Mid-Market,14,2106.67,0.011,37167.27,7828.31,50.0
ORD-00017,2023-01-29,North Africa,Egypt,Support Plan,Partner,Enterprise,7,170.16,0.336,2291.04,704.18,942.21
ORD-00018,2023-01-31,Gulf,UAE,Professional Services,Partner,Enterprise,22,370.06,0.052,21896.97,3807.34,8659.71
ORD-00019,2023-02-02,Nile Valley,Egypt,Analytics Suite,Direct,Mid-Market,26,822.41,0.124,30283.95,5412.77,50.0
ORD-00020,2023-02-02,Nile Valley,Egypt,Analytics Suite,Reseller,Mid-Market,32,1107.85,0.135,50020.63,14899.64,16586.8
ORD-00021,2023-02-06,Levant,Jordan,Analytics Suite,Direct,Enterprise,38,1736.2,0.171,161988.41,29179.74,17208.3
ORD-00022,2023-02-08,Gulf,Egypt,Hardware,Partner,Mid-Market,3,634.8,0.275,1755.08,211.72,950.55
ORD-00023,2023-02-08,Levant,Bahrain,Support Plan,Partner,Enterprise,10,223.05,,6579.88,1409.02,3786.42
ORD-00024,2023-02-09,North Africa,Jordan,Analytics Suite,Reseller,Mid-Market,12,965.48,0.326,12301.65,1510.12,5284.21
ORD-00025,2023-02-09,North Africa,Bahrain,Hardware,Online,Mid-Market,10,1334.58,0.226,16438.26,5262.78,3408.91
ORD-00026,2023-02-13,North Africa,Saudi Arabia,Support Plan,Reseller,Mid-Market,33,86.52,0.333,2445.56,638.78,5524.02
ORD-00027,2023-02-15,Levant,Bahrain,Support Plan,Direct,Mid-Market,6,147.64,0.286,803.0,199.36,2818.5
