employee_id,department,level,office,remote,tenure_years,salary_usd,performance_score,satisfaction_score,training_hours,bonus_usd,projects_completed
EMP-0000,Finance,Senior,Casablanca,Yes,6,137797.0,4.08,2.72,63,19615.62,20
EMP-0001,Engineering,Junior,Casablanca,Yes,3,69915.0,4.39,4.17,8,17334.55,6
EMP-0002,Finance,Senior,Casablanca,Yes,0,109340.0,4.29,3.19,54,18318.46,11
EMP-0003,Marketing,Junior,Casablanca,Yes,13,80697.0,4.76,4.1,65,23559.14,19
EMP-0004,Product,Senior,Riyadh,Yes,3,133126.0,3.36,3.72,53,21856.69,11
EMP-0005,Product,Lead,Casablanca,Yes,7,184317.0,2.44,4.09,10,13533.12,2
EMP-0006,Finance,Junior,Casablanca,No,11,248913.11269437,4.03,3.17,39,19985.51,9
EMP-0007,Finance,Mid,Amman,No,13,106984.0,4.12,3.8,42,19610.12,3
EMP-0008,Product,Senior,Cairo,Yes,11,,4.76,3.89,31,20203.94,10
EMP-0009,Operations,Junior,Cairo,No,4,54393.0,4.53,3.65,37,21997.9,18
EMP-0010,Product,Mid,Riyadh,No,11,120221.0,5.0,4.07,60,20848.19,13
EMP-0011,Engineering,Senior,Casablanca,Yes,0,,4.0,4.29,66,16466.83,17
EMP-0012,Marketing,Mid,Casablanca,Yes,4,85059.0,3.68,3.29,24,15058.51,3
EMP-0013,Engineering,Lead,Dubai,Yes,2,158314.0,2.39,4.02,26,13010.04,19
EMP-0014,Product,Mid,Doha,No,7,102273.0,3.75,3.87,16,17149.08,11
EMP-0015,Sales,Senior,Amman,No,12,114586.0,3.06,2.53,32,14494.88,7
EMP-0016,Product,Junior,Dubai,Yes,10,88025.0,3.67,3.35,43,16887.57,16
EMP-0017,Engineering,Junior,Casablanca,No,13,79236.0,3.54,3.0,57,14694.59,4
EMP-0018,Finance,Junior,Doha,No,1,56094.0,3.88,4.19,21,16778.93,12
EMP-0019,Sales,Lead,Riyadh,Yes,10,161045.0,3.42,2.41,17,14942.33,11
EMP-0020,Operations,Lead,Dubai,No,10,130873.0,4.25,3.17,2,17233.76,4
EMP-0021,Marketing,Senior,Cairo,No,6,107001.0,1.32,1.57,7,6293.89,23
EMP-0022,Sales,Junior,Riyadh,No,1,54152.0,3.65,3.97,4,15216.42,9
EMP-0023,Product,Mid,Cairo,No,1,99666.0,4.46,4.86,16,21106.88,1
EMP-0024,Finance,Senior,Riyadh,No,12,130252.0,5.0,5.0,55,23474.82,11
EMP-0025,Engineering,Senior,Amman,Yes,4,141285.0,4.09,4.18,61,16718.93,24
EMP-0026,Engineering,Junior,Casablanca,Yes,8,83801.0,4.85,4.34,77,21416.26,17
EMP-0027,Operations,Lead,Dubai,No,13,134342.0,3.64,4.02,43,19551.71,16
EMP-0028,Finance,Junior,Doha,Yes,6,64440.0,3.5,2.76,36,14738.47,22
EMP-0029,Marketing,Junior,Riyadh,No,2,52685.0,3.92,2.64,71,18618.79,3
